# regime-adapt train day sampling v1 | frozen 2026-08-09 | seed=42
# train=2004-01-02..2020-07-31 | labels=monthly_regime_3style.csv
# D downsample keep=1718/2771 (f_D=0.619993); target D/F/T=55/30/15; decay halflife=48m (M3 only)
date,weight
2005-09-08,0.19920921
2005-09-13,0.19968233
2005-09-15,0.19987189
2005-09-16,0.19996674
2005-09-20,0.20034658
2005-09-22,0.20053677
2005-09-23,0.20063194
2005-09-26,0.2009177
2005-09-27,0.20101304
2005-09-30,0.20129935
2005-10-12,0.20244866
2005-10-14,0.20264084
2005-10-19,0.20312211
2005-10-20,0.2032185
2005-10-21,0.20331494
2005-10-25,0.20370114
2005-11-02,0.20447575
2005-11-03,0.20457279
2005-11-04,0.20466987
2005-11-08,0.20505864
2005-11-09,0.20515595
2005-11-10,0.20525331
2005-11-14,0.2056432
2005-11-15,0.20574078
2005-11-17,0.2059361
2005-11-18,0.20603382
2005-11-21,0.20632728
2005-11-23,0.20652315
2005-11-24,0.20662115
2005-11-30,0.20721016
2005-12-01,0.20730849
2005-12-02,0.20740687
2005-12-05,0.20770228
2005-12-07,0.20789946
2005-12-08,0.20799811
2005-12-09,0.20809682
2005-12-12,0.20839321
2005-12-14,0.20859104
2005-12-16,0.20878906
2005-12-19,0.20908644
2005-12-21,0.20928493
2005-12-23,0.20948361
2005-12-26,0.20978198
2005-12-27,0.20988153
2005-12-29,0.21008078
2005-12-30,0.21018047
2006-01-04,0.21067965
2006-01-06,0.21087965
2006-01-09,0.21118001
2006-01-10,0.21128022
2006-01-11,0.21138048
2006-01-12,0.21148079
2006-01-17,0.21198306
2006-01-19,0.21218429
2006-01-23,0.21258735
2006-01-24,0.21268823
2006-01-25,0.21278916
2006-02-06,0.38495147
2006-02-07,0.38513414
2006-02-08,0.38531691
2006-02-09,0.38549976
2006-02-10,0.3856827
2006-02-13,0.38623203
2006-02-14,0.38641531
2006-02-15,0.38659869
2006-02-16,0.38678214
2006-02-17,0.38696569
2006-02-20,0.38751685
2006-02-21,0.38770074
2006-02-22,0.38788473
2006-02-23,0.3880688
2006-02-24,0.38825295
2006-02-27,0.38880595
2006-02-28,0.38899045
2006-03-01,0.38917505
2006-03-02,0.38935973
2006-03-03,0.3895445
2006-03-06,0.39009933
2006-03-07,0.39028445
2006-03-08,0.39046966
2006-03-09,0.39065495
2006-03-10,0.39084034
2006-03-13,0.39139702
2006-03-14,0.39158275
2006-03-15,0.39176858
2006-03-16,0.39195449
2006-03-17,0.39214049
2006-03-20,0.39269902
2006-03-21,0.39288537
2006-03-22,0.39307182
2006-03-23,0.39325835
2006-03-24,0.39344497
2006-03-27,0.39400536
2006-03-28,0.39419233
2006-03-29,0.39437939
2006-03-30,0.39456654
2006-03-31,0.39475378
2006-04-03,0.39531604
2006-04-04,0.39550363
2006-04-05,0.39569132
2006-04-06,0.39587909
2006-04-07,0.39606695
2006-04-10,0.39663108
2006-04-11,0.3968193
2006-04-12,0.3970076
2006-04-13,0.397196
2006-04-14,0.39738449
2006-04-17,0.39795049
2006-04-18,0.39813934
2006-04-19,0.39832827
2006-04-20,0.3985173
2006-04-21,0.39870641
2006-04-24,0.39927429
2006-04-25,0.39946377
2006-04-26,0.39965333
2006-04-27,0.39984299
2006-04-28,0.40003273
2006-05-08,0.33375314
2006-05-09,0.33391152
2006-05-10,0.33406998
2006-05-11,0.33422851
2006-05-12,0.33438712
2006-05-15,0.33486339
2006-05-16,0.3350223
2006-05-17,0.33518128
2006-05-18,0.33534034
2006-05-19,0.33549947
2006-05-22,0.33597733
2006-05-23,0.33613677
2006-05-24,0.33629628
2006-05-25,0.33645587
2006-05-26,0.33661553
2006-05-29,0.33709498
2006-05-30,0.33725494
2006-05-31,0.33741499
2006-06-01,0.33757511
2006-06-02,0.3377353
2006-06-05,0.33821634
2006-06-06,0.33837684
2006-06-07,0.33853742
2006-06-08,0.33869807
2006-06-09,0.3388588
2006-06-12,0.33934144
2006-06-13,0.33950247
2006-06-14,0.33966358
2006-06-15,0.33982477
2006-06-16,0.33998603
2006-06-19,0.34047028
2006-06-20,0.34063184
2006-06-21,0.34079349
2006-06-22,0.34095521
2006-06-23,0.34111701
2006-06-26,0.34160287
2006-06-27,0.34176497
2006-06-28,0.34192716
2006-06-29,0.34208942
2006-06-30,0.34225176
2006-07-03,0.34273923
2006-07-04,0.34290187
2006-07-05,0.3430646
2006-07-06,0.3432274
2006-07-07,0.34339027
2006-07-10,0.34387937
2006-07-11,0.34404256
2006-07-12,0.34420582
2006-07-13,0.34436916
2006-07-14,0.34453258
2006-07-17,0.3450233
2006-07-18,0.34518703
2006-07-19,0.34535084
2006-07-20,0.34551472
