datetime,bench
2019-09-03,0.007233211
2019-09-04,0.0079306485
2019-09-05,0.009046527
2019-09-06,0.0042545097
2019-09-09,0.020551061
2019-09-10,0.0023624406
2019-09-11,-0.005627656
2019-09-12,0.0063074487
2019-09-16,0.00406633
2019-09-17,-0.022098744
2019-09-18,0.0017413856
2019-09-19,0.011149848
2019-09-20,0.0010359965
2019-09-23,-0.008013054
2019-09-24,0.00281767
2019-09-25,-0.018273104
2019-09-26,-0.027276073
2019-09-27,0.009264223
2019-09-30,-0.0109967785
2019-10-08,0.001358261
2019-10-09,0.009742147
2019-10-10,0.012689022
2019-10-11,0.002035239
2019-10-14,0.015170737
2019-10-15,-0.010520482
2019-10-16,-0.006084412
2019-10-17,-0.0017275306
2019-10-18,-0.011983614
2019-10-21,-0.004265927
2019-10-22,0.011198067
2019-10-23,-0.004936218
2019-10-24,-0.0007967802
2019-10-25,0.005947847
2019-10-28,0.017489376
2019-10-29,-0.014612131
2019-10-30,-0.012592979
2019-10-31,-0.0114697125
2019-11-01,0.00974216
2019-11-04,0.0033002133
2019-11-05,0.0011034501
2019-11-06,-0.008704075
2019-11-07,0.006776793
2019-11-08,-0.0019320978
2019-11-11,-0.02539611
2019-11-12,0.0032318644
2019-11-13,-0.0033777938
2019-11-14,0.006043021
2019-11-15,-0.012800536
2019-11-18,0.0069328644
2019-11-19,0.017253796
2019-11-20,-0.0063889646
2019-11-21,-0.00064332254
2019-11-22,-0.008220599
2019-11-25,-0.0028549386
2019-11-26,-0.0013364458
2019-11-27,-0.0009226806
2019-11-28,-0.002797113
2019-11-29,0.0013943444
2019-12-02,0.0015835288
2019-12-03,0.005968148
2019-12-04,0.0017760183
2019-12-05,0.010065285
2019-12-06,0.0062732506
2019-12-09,0.0033200246
2019-12-10,0.005572707
2019-12-11,-0.0026280947
2019-12-12,-0.0019955884
2019-12-13,0.011472945
2019-12-16,0.016247949
2019-12-17,0.012467477
2019-12-18,0.002980767
2019-12-19,0.00597333
2019-12-20,-0.008349882
2019-12-23,-0.0202136
2019-12-24,0.015939133
2019-12-25,0.0032611778
2019-12-26,0.008720778
2019-12-27,-0.0060146577
2019-12-30,0.0052134986
2019-12-31,0.005937277
2020-01-02,0.018458428
2020-01-03,0.0050176904
2020-01-06,0.007219087
2020-01-07,0.013456842
2020-01-08,-0.013125285
2020-01-09,0.015260584
2020-01-10,-0.0022223443
2020-01-13,0.010659255
2020-01-14,0.00025761523
2020-01-15,-0.004596066
2020-01-16,-0.0032112722
2020-01-17,-0.0021317913
2020-01-20,0.009648714
2020-01-21,-0.011653181
2020-01-22,0.0011530117
2020-01-23,-0.033703968
2020-02-03,-0.08873718
2020-02-04,-0.003968483
2020-02-05,0.027188284
2020-02-06,0.026295226
2020-02-07,0.011998918
2020-02-10,0.016127573
2020-02-11,-0.0054719243
2020-02-12,0.016824309
2020-02-13,-0.009247628
2020-02-14,0.0019463807
2020-02-17,0.034037467
2020-02-18,0.017000712
2020-02-19,-0.0052513457
2020-02-20,0.017877238
2020-02-21,0.01015002
2020-02-24,0.012514923
2020-02-25,-0.0020848864
2020-02-26,-0.015182112
2020-02-27,0.0026860815
2020-02-28,-0.05291897
2020-03-02,0.041671176
2020-03-03,0.012350183
2020-03-04,0.010141635
2020-03-05,0.018408194
2020-03-06,-0.0016921528
2020-03-09,-0.032900296
2020-03-10,0.021500086
2020-03-11,-0.008909776
2020-03-12,-0.018849256
2020-03-13,-0.011807304
2020-03-16,-0.038475633
2020-03-17,-0.0023069992
2020-03-18,-0.015610943
2020-03-19,0.007951334
2020-03-20,0.014256008
2020-03-23,-0.038349252
2020-03-24,0.01934061
2020-03-25,0.023438683
2020-03-26,-0.009769965
2020-03-27,-0.0037833436
2020-03-30,-0.021658715
2020-03-31,0.0003064429
2020-04-01,-0.0056891525
2020-04-02,0.021326475
2020-04-03,-0.0050699436
2020-04-07,0.031092662
2020-04-08,0.004616386
2020-04-09,0.008526712
2020-04-10,-0.023078823
2020-04-13,-0.0078562815
2020-04-14,0.018028723
2020-04-15,-0.006016999
2020-04-16,0.0046019484
2020-04-17,-3.3729215e-05
2020-04-20,0.011370404
2020-04-21,-0.0048297937
2020-04-22,0.009592143
2020-04-23,-0.0034627
2020-04-24,-0.017172355
2020-04-27,-0.0062384536
2020-04-28,-0.020452099
2020-04-29,-0.0008471053
2020-04-30,0.02227485
2020-05-06,0.018533139
2020-05-07,-0.0015052859
2020-05-08,0.0110043455
2020-05-11,0.0006861833
2020-05-12,-9.289619e-05
2020-05-13,0.0059795678
2020-05-14,-0.007737218
2020-05-15,0.0030550212
2020-05-18,-0.00355424
2020-05-19,0.012006256
2020-05-20,-0.007492444
2020-05-21,-0.009094387
2020-05-22,-0.015701622
2020-05-25,-0.0011942312
2020-05-26,0.021034257
2020-05-27,-0.0018594143
2020-05-28,-0.003159243
2020-05-29,0.0078008994
2020-06-01,0.027951427
2020-06-02,0.0055840635
2020-06-03,0.0005951139
2020-06-04,0.004024238
2020-06-05,-6.038006e-05
2020-06-08,-0.0013354006
2020-06-09,0.0046509104
2020-06-10,-0.0021035564
2020-06-11,-0.0030689393
2020-06-12,0.0011322009
2020-06-15,-0.0015227419
2020-06-16,0.017190184
2020-06-17,0.0048127496
2020-06-18,-0.0010787448
2020-06-19,0.004963687
2020-06-22,0.002240257
2020-06-23,-0.000660214
2020-06-24,-0.002098182
2020-06-29,-0.0050006467
2020-06-30,0.015415723
2020-07-01,0.005425784
2020-07-02,0.014019371
2020-07-03,0.011805931
2020-07-06,0.039434325
2020-07-07,0.010309548
2020-07-08,0.02136405
2020-07-09,0.02671884
2020-07-10,-0.0060357293
2020-07-13,0.033360332
2020-07-14,-0.0043286253
2020-07-15,-0.025517067
2020-07-16,-0.045031205
2020-07-17,0.0019036275
2020-07-20,0.034687124
2020-07-21,0.0050455416
2020-07-22,0.005056092
2020-07-23,-0.0022445784
2020-07-24,-0.04101112
2020-07-27,0.00056997495
2020-07-28,0.0117119495
2020-07-29,0.024664404
2020-07-30,0.00011200282
2020-07-31,0.012517615
2020-08-03,0.03009286
2020-08-04,-0.00450577
2020-08-05,0.010384882
2020-08-06,-0.001204193
2020-08-07,-0.0123528885
2020-08-10,0.008131783
2020-08-11,-0.018310325
2020-08-12,-0.006995641
2020-08-13,0.0060220864
2020-08-14,0.0076931203
2020-08-17,0.018969227
2020-08-18,0.007839885
2020-08-19,-0.014777325
2020-08-20,-0.0111204
2020-08-21,0.006896592
2020-08-24,0.0061964206
2020-08-25,0.0005210985
2020-08-26,-0.020762518
2020-08-27,0.011754906
2020-08-28,0.009186383
2020-08-31,0.0015465186
2020-09-01,0.0057202214
2020-09-02,0.005282695
2020-09-03,-0.008988042
2020-09-04,0.0014227857
2020-09-07,-0.011540764
2020-09-08,0.009328077
2020-09-09,-0.026145702
2020-09-10,-0.037253153
2020-09-11,0.015120267
2020-09-14,0.015958708
2020-09-15,0.0031998295
2020-09-16,-0.005760314
2020-09-17,0.0041547287
2020-09-18,0.0125508765
2020-09-21,-0.0018253706
2020-09-22,-0.014885679
2020-09-23,0.0075565893
2020-09-24,-0.026127756
2020-09-25,-0.0055905096
2020-09-28,-0.014554727
2020-09-29,0.0077067814
2020-09-30,-0.0022546991
2020-10-09,0.030278787
2020-10-12,0.03019942
2020-10-13,0.0035690821
2020-10-14,-0.0051072165
2020-10-15,-0.0071373726
2020-10-16,0.00060437294
2020-10-19,-0.0051424815
2020-10-20,0.010623455
2020-10-21,-0.011099736
